,price,product,time
0,139.5,uberGO,8:54
0,233.5,uberGO,8:58
0,179.5,uberGO,9:2
0,166.0,uberGO,9:6
0,162.5,uberGO,9:10
0,162.0,uberGO,9:14
0,226.5,uberGO,9:18
0,162.5,uberGO,9:23
0,126.0,uberGO,9:27
0,128.0,uberGO,9:31
0,161.5,uberGO,9:35
0,176.0,uberGO,9:39
0,206.0,uberGO,9:43
0,177.0,uberGO,9:47
0,160.5,uberGO,9:51
0,190.5,uberGO,9:55
0,161.5,uberGO,9:59
0,124.0,uberGO,10:3
0,124.0,uberGO,10:7
0,158.0,uberGO,10:11
0,158.0,uberGO,10:15
0,124.0,uberGO,10:19
0,123.5,uberGO,10:23
0,125.0,uberGO,10:27
0,126.5,uberGO,10:31
0,127.0,uberGO,10:35
0,133.0,uberGO,10:39
0,132.5,uberGO,10:43
0,127.5,uberGO,10:47
0,134.0,uberGO,10:52
0,270.5,uberGO,10:56
0,207.5,uberGO,11:0
0,116.0,uberGO,11:4
0,124.0,uberGO,11:8
0,122.0,uberGO,11:12
0,168.5,uberGO,11:16
0,190.5,uberGO,11:20
0,126.0,uberGO,11:24
0,125.0,uberGO,11:28
0,139.5,uberGO,11:32
0,139.5,uberGO,11:36
0,137.0,uberGO,11:40
0,137.0,uberGO,11:44
0,137.5,uberGO,11:48
0,222.5,uberGO,11:52
0,228.0,uberGO,11:56
0,167.5,uberGO,12:0
0,207.0,uberGO,12:4
0,235.0,uberGO,12:8
0,229.5,uberGO,12:12
0,233.0,uberGO,12:16
0,127.0,uberGO,12:20
0,127.5,uberGO,12:25
0,127.5,uberGO,12:29
0,130.5,uberGO,12:33
0,130.5,uberGO,12:37
0,130.5,uberGO,12:41
0,131.0,uberGO,12:45
0,130.5,uberGO,12:49
0,130.5,uberGO,12:53
0,166.0,uberGO,12:57
0,131.0,uberGO,13:1
0,182.0,uberGO,13:5
0,167.0,uberGO,13:9
0,130.5,uberGO,13:13
0,235.0,uberGO,13:17
0,251.0,uberGO,13:21
0,131.5,uberGO,13:25
0,131.5,uberGO,13:29
0,131.5,uberGO,13:33
0,183.0,uberGO,13:37
0,251.5,uberGO,13:41
0,209.5,uberGO,13:45
0,129.5,uberGO,13:49
0,127.0,uberGO,13:53
0,127.0,uberGO,13:58
0,256.0,uberGO,14:2
0,208.0,uberGO,14:6
0,130.5,uberGO,14:10
0,130.5,uberGO,14:14
0,129.5,uberGO,14:18
0,130.5,uberGO,14:22
0,130.5,uberGO,14:26
0,122.5,uberGO,14:30
0,182.0,uberGO,14:34
0,195.0,uberGO,14:38
0,158.5,uberGO,14:42
0,125.0,uberGO,14:46
0,125.0,uberGO,14:50
0,198.5,uberGO,14:54
0,125.0,uberGO,14:58
0,170.5,uberGO,15:2
0,124.0,uberGO,15:6
0,124.5,uberGO,15:10
0,124.5,uberGO,15:14
0,211.5,uberGO,15:18
0,158.5,uberGO,15:22
0,125.0,uberGO,15:27
0,126.5,uberGO,15:31
0,127.0,uberGO,15:35
0,127.5,uberGO,15:39
0,164.0,uberGO,15:43
0,220.5,uberGO,15:47
0,129.5,uberGO,15:51
0,128.5,uberGO,15:55
0,164.5,uberGO,15:59
0,247.0,uberGO,16:3
0,219.0,uberGO,16:7
0,128.5,uberGO,16:11
0,128.5,uberGO,16:15
0,191.5,uberGO,16:19
0,204.0,uberGO,16:23
0,129.5,uberGO,16:27
0,129.5,uberGO,16:31
0,220.5,uberGO,16:35
0,207.0,uberGO,16:39
0,129.5,uberGO,16:43
0,127.5,uberGO,16:48
0,127.5,uberGO,16:52
0,127.5,uberGO,16:56
0,132.5,uberGO,17:0
0,207.5,uberGO,17:4
0,219.5,uberGO,17:8
0,208.5,uberGO,17:12
0,255.0,uberGO,17:16
0,210.5,uberGO,17:20
0,136.0,uberGO,17:24
0,135.0,uberGO,17:28
0,135.0,uberGO,17:32
0,135.0,uberGO,17:36
0,133.5,uberGO,17:40
0,135.0,uberGO,17:44
0,135.5,uberGO,17:48
0,222.0,uberGO,17:52
0,225.0,uberGO,17:56
0,239.5,uberGO,18:0
0,135.0,uberGO,18:4
0,135.0,uberGO,18:8
0,213.5,uberGO,18:13
0,225.0,uberGO,18:17
0,140.5,uberGO,18:21
0,140.5,uberGO,18:25
0,218.0,uberGO,18:29
0,255.0,uberGO,18:33
0,223.0,uberGO,18:37
0,134.5,uberGO,18:41
0,134.0,uberGO,18:45
0,224.0,uberGO,18:49
0,284.0,uberGO,18:53
0,272.5,uberGO,18:57
0,258.5,uberGO,19:1
0,137.5,uberGO,19:5
0,139.0,uberGO,19:9
0,139.5,uberGO,19:13
0,138.5,uberGO,19:17
0,213.0,uberGO,19:21
0,183.0,uberGO,19:25
0,228.5,uberGO,19:29
0,241.5,uberGO,19:33
0,226.0,uberGO,19:37
0,240.5,uberGO,19:42
0,227.0,uberGO,19:46
0,181.0,uberGO,19:50
0,141.5,uberGO,19:54
0,143.0,uberGO,19:58
0,141.5,uberGO,20:2
0,195.0,uberGO,20:6
0,141.5,uberGO,20:10
0,140.5,uberGO,20:14
0,140.5,uberGO,20:18
0,140.5,uberGO,20:22
0,140.5,uberGO,20:26
0,140.5,uberGO,20:30
0,209.5,uberGO,20:34
0,239.5,uberGO,20:38
0,221.5,uberGO,20:42
0,221.5,uberGO,20:46
0,139.5,uberGO,20:50
0,141.5,uberGO,20:54
0,141.5,uberGO,20:58
0,139.5,uberGO,21:2
0,139.5,uberGO,21:6
0,138.5,uberGO,21:10
0,138.5,uberGO,21:15
0,138.5,uberGO,21:19
0,138.5,uberGO,21:23
0,138.5,uberGO,21:27
0,139.5,uberGO,21:31
0,139.5,uberGO,21:35
0,139.5,uberGO,21:39
0,140.5,uberGO,21:43
0,139.5,uberGO,21:47
0,140.5,uberGO,21:51
0,140.5,uberGO,21:55
0,137.0,uberGO,21:59
0,140.5,uberGO,22:3
0,140.5,uberGO,22:7
0,140.5,uberGO,22:11
0,139.5,uberGO,22:15
0,138.5,uberGO,22:19
0,138.0,uberGO,22:23
0,138.0,uberGO,22:27
0,136.5,uberGO,22:31
0,136.5,uberGO,22:35
